title,openreview_link,authors
Transformers vs. Message Passing GNNs: Distinguished in Uniform,https://iclr.cc/virtual/2024/poster/19249,"Jan Tönshoff, Eran Rosenbluth, Martin Ritzert, Berke Kisin, Martin Grohe"
Consistency Training with Learnable Data Augmentation for Graph Anomaly Detection with Limited Supervision,https://iclr.cc/virtual/2024/poster/18209,"Nan Chen, Zemin Liu, Bryan Hooi, Bingsheng He, Rizal Fathony, Jun Hu, Jia Chen"
LightHGNN: Distilling Hypergraph Neural Networks into MLPs for 100x Faster Inference,https://iclr.cc/virtual/2024/poster/17940,"Yifan Feng, Yihe Luo, Shihui Ying, Yue Gao"
Hypergraph Dynamic System,https://iclr.cc/virtual/2024/poster/18791,"Jielong Yan, Yifan Feng, Shihui Ying, Yue Gao"
Self-Supervised Heterogeneous Graph Learning:  a Homophily and Heterogeneity View,https://iclr.cc/virtual/2024/poster/19523,"YUJIE MO, Feiping Nie, Ping Hu, Heng Tao Shen, Zheng Zhang, Xinchao Wang, Xiaofeng Zhu"
Sum-Product-Set Networks: Deep Tractable Models for Tree-Structured Graphs,https://iclr.cc/virtual/2024/poster/17901,"Milan Papez, Martin Rektoris, Tomáš Pevný, Vaclav Smidl"
Label-free Node Classification on Graphs with Large Language Models (LLMs),https://iclr.cc/virtual/2024/poster/18104,"Zhikai Chen, Haitao Mao, Hongzhi Wen, Haoyu Han, Wei Jin, Haiyang Zhang, Hui Liu, Jiliang Tang"
Mayfly: a Neural Data Structure for Graph Stream Summarization,https://iclr.cc/virtual/2024/poster/17871,"yuan feng, Yukun Cao, Hairu Wang, Xike Xie, S Kevin Zhou"
GraphChef: Decision-Tree Recipes to Explain Graph Neural Networks,https://iclr.cc/virtual/2024/poster/18957,"Peter Müller, Lukas Faber, Karolis Martinkus, Roger Wattenhofer"
Adaptive Self-training Framework for Fine-grained Scene Graph Generation,https://iclr.cc/virtual/2024/poster/18465,"Kibum Kim, Kanghoon Yoon, Yeonjun In, Jinyoung Moon, Donghyun Kim, Chanyoung Park"
Structural Fairness-aware Active Learning for Graph Neural Networks,https://iclr.cc/virtual/2024/poster/18317,"Haoyu Han, Xiaorui Liu, Li Ma, MohamadAli Torkamani, Hui Liu, Jiliang Tang, Makoto Yamada"
Learning Adaptive Multiresolution Transforms via Meta-Framelet-based Graph Convolutional Network,https://iclr.cc/virtual/2024/poster/19425,"Tianze Luo, Zhanfeng Mo, Sinno Pan"
VBH-GNN: Variational Bayesian Heterogeneous Graph Neural Networks for Cross-subject Emotion Recognition,https://iclr.cc/virtual/2024/poster/19115,"Chenyu Liu, XINLIANG ZHOU, Zhengri Zhu, Liming Zhai, Ziyu Jia, Yang Liu"
Online GNN Evaluation Under Test-time Graph Distribution Shifts,https://iclr.cc/virtual/2024/poster/18895,"Xin Zheng, Dongjin Song, Qingsong Wen, Bo Du, Shirui Pan"
Rethinking the Power of Graph Canonization in Graph Representation Learning with Stability,https://iclr.cc/virtual/2024/poster/17857,"Zehao Dong, Muhan Zhang, Philip Payne, Michael Province, Carlos Cruchaga, Tianyu Zhao, Fuhai Li, Yixin Chen"
Learning Mean Field Games on Sparse Graphs: A Hybrid Graphex Approach,https://iclr.cc/virtual/2024/poster/17367,"Christian Fabian, Kai Cui, Heinz Koeppl"
VQGraph: Rethinking Graph Representation Space for Bridging GNNs and MLPs,https://iclr.cc/virtual/2024/poster/18114,"Ling Yang, Ye Tian, Minkai Xu, Zhongyi Liu, Shenda Hong, Wei Qu, Wentao Zhang, Bin CUI, Muhan Zhang, Jure Leskovec"
Latent 3D Graph Diffusion,https://iclr.cc/virtual/2024/poster/18292,"Yuning You, Ruida Zhou, Jiwoong Park, Haotian Xu, Chao Tian, Zhangyang Wang, Yang Shen"
Graph Neural Networks for Learning Equivariant Representations of Neural Networks,https://iclr.cc/virtual/2024/poster/17821,"Miltiadis (Miltos) Kofinas, Boris Knyazev, Yan Zhang, Yunlu Chen, Gertjan J Burghouts, Efstratios Gavves, Cees G Snoek, David Zhang"
Graph Generation with  $K^2$-trees,https://iclr.cc/virtual/2024/poster/18652,"Yunhui Jang, Dongwoo Kim, Sungsoo Ahn"
"M3C: A Framework towards Convergent, Flexible, and Unsupervised Learning of Mixture Graph Matching and Clustering",https://iclr.cc/virtual/2024/poster/19259,"Jiaxin Lu, Zetian Jiang, Tianzhe Wang, Junchi Yan"
NP-GL: Extending Power of Nature from Binary Problems to Real-World Graph Learning,https://iclr.cc/virtual/2024/poster/17731,"Chunshu Wu, Ruibing Song, Chuan Liu, Yunan Yang, Ang Li, Michael Huang, Tong Geng"
Clifford Group Equivariant Simplicial Message Passing Networks,https://iclr.cc/virtual/2024/poster/18381,"Cong Liu, David Ruhe, Floor Eijkelboom, Patrick Forré"
FreeDyG: Frequency Enhanced Continuous-Time Dynamic Graph Model for Link Prediction,https://iclr.cc/virtual/2024/poster/19341,"Yuxing Tian, Yiyan Qi, Fan Guo"
MMD Graph Kernel: Effective Metric Learning for Graphs via Maximum Mean Discrepancy,https://iclr.cc/virtual/2024/poster/19024,"Yan Sun, Jicong Fan"
Reasoning on Graphs: Faithful and Interpretable Large Language Model Reasoning,https://iclr.cc/virtual/2024/poster/18404,"Linhao Luo, Yuan-Fang Li, Reza Haffari, Shirui Pan"
Mixture of Weak and Strong Experts on Graphs,https://iclr.cc/virtual/2024/poster/17490,"Hanqing Zeng, Hanjia Lyu, Diyi Hu, Yinglong Xia, Jiebo Luo"
VCR-Graphormer: A Mini-batch Graph Transformer via Virtual Connections,https://iclr.cc/virtual/2024/poster/18601,"Dongqi Fu, Zhigang Hua, Yan Xie, Jin Fang, Si Zhang, Kaan Sancak, Hao Wu, Andrey Malevich, Jingrui He, Bo Long"
Bounding the Expected Robustness of Graph Neural Networks Subject to Node Feature Attacks,https://iclr.cc/virtual/2024/poster/19134,"Yassine ABBAHADDOU, Sofiane ENNADIR, Johannes Lutzeyer, Michalis Vazirgiannis, Henrik Boström"
Harnessing Explanations: LLM-to-LM Interpreter for Enhanced Text-Attributed Graph Representation Learning,https://iclr.cc/virtual/2024/poster/18640,"Xiaoxin He, Xavier Bresson, Thomas Laurent, Adam Perold, Yann LeCun, Bryan Hooi"
Mitigating Severe Robustness Degradation on Graphs,https://iclr.cc/virtual/2024/poster/18886,"Xiangchi Yuan, Chunhui Zhang, Yijun Tian, Yanfang Ye, Chuxu Zhang"
Think-on-Graph: Deep and Responsible Reasoning of Large Language Model on Knowledge Graph,https://iclr.cc/virtual/2024/poster/17844,"Jiashuo Sun, Chengjin Xu, Lumingyuan Tang, Saizhuo Wang, Chen Lin, Yeyun Gong, Lionel Ni, Heung-Yeung Shum, Jian Guo"
Efficient Sharpness-Aware Minimization for Molecular Graph Transformer Models,https://iclr.cc/virtual/2024/poster/18737,"Yili Wang, Kaixiong Zhou, Ninghao Liu, Ying Wang, Xin Wang"
Orbit-Equivariant Graph Neural Networks,https://iclr.cc/virtual/2024/poster/19019,"Matthew Morris, Bernardo Grau, Ian Horrocks"
Encoding Unitig-level Assembly Graphs with Heterophilous Constraints for Metagenomic Contigs Binning,https://iclr.cc/virtual/2024/poster/17546,"Hansheng Xue, Vijini Mallawaarachchi, Lexing Xie, Vaibhav Rajan"
Boosting Graph Anomaly Detection with Adaptive Message Passing,https://iclr.cc/virtual/2024/poster/19168,"Jingyan Chen, Guanghui Zhu, Chunfeng Yuan, Yihua Huang"
Unleashing the Potential of Fractional Calculus in Graph Neural Networks with FROND,https://iclr.cc/virtual/2024/poster/17486,"Qiyu Kang, Kai Zhao, Qinxu Ding, Feng Ji, Xuhao Li, Wenfei Liang, Yang Song, Wee Peng Tay"
Temporal Generalization Estimation in Evolving Graphs,https://iclr.cc/virtual/2024/poster/19001,"Bin Lu, Tingyan Ma, Xiaoying Gan, Xinbing Wang, Yunqiang Zhu, Chenghu Zhou, Shiyu Liang"
Rethinking the Benefits of Steerable Features in 3D Equivariant Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17900,"Shih-Hsin Wang, Yung-Chang Hsu, Justin Baker, Andrea Bertozzi, Jack Xin, Bao Wang"
InterpGNN: Understand and Improve Generalization Ability of Transdutive GNNs through the Lens of Interplay between Train and Test Nodes,https://iclr.cc/virtual/2024/poster/17760,"Jiawei Sun, Kailai Li, Ruoxin Chen, Jie LI, Chentao Wu, Yue Ding, Junchi Yan"
Graph Lottery Ticket Automated,https://iclr.cc/virtual/2024/poster/17845,"Guibin Zhang, Kun Wang, Wei Huang, Yanwei Yue, Yang Wang, Roger Zimmermann, Aojun Zhou, Dawei Cheng, Jin Zeng, Yuxuan Liang"
Exploiting Causal Graph Priors with Posterior Sampling for Reinforcement Learning,https://iclr.cc/virtual/2024/poster/18841,"Mirco Mutti, Riccardo De Santi, Marcello Restelli, Alexander Marx, Giorgia Ramponi"
Partitioning Message Passing for Graph Fraud Detection,https://iclr.cc/virtual/2024/poster/17621,"Wei Zhuo, Zemin Liu, Bryan Hooi, Bingsheng He, Guang Tan, Rizal Fathony, Jia Chen"
Variance-enlarged Poisson Learning for Graph-based Semi-Supervised Learning with Extremely Sparse Labeled Data,https://iclr.cc/virtual/2024/poster/17410,"Xiong Zhou, Xianming Liu, Hao Yu, Jialiang Wang, Zeke Xie, Junjun Jiang, Xiangyang Ji"
On the Power of the Weisfeiler-Leman Test for Graph Motif Parameters,https://iclr.cc/virtual/2024/poster/19057,"Matthias Lanzinger, Pablo Barcelo"
Boosting the Adversarial Robustness of Graph Neural Networks: An OOD Perspective,https://iclr.cc/virtual/2024/poster/19149,"Kuan Li, YiWen Chen, Yang Liu, Jin Wang, QING HE, Minhao Cheng, Xiang Ao"
A Topological Perspective on Demystifying GNN-Based Link Prediction Performance,https://iclr.cc/virtual/2024/poster/18354,"Yu Wang, Tong Zhao, Yuying Zhao, Yunchao Liu, Xueqi Cheng, Neil Shah, Tyler Derr"
Hybrid Directional Graph Neural Network for Molecules,https://iclr.cc/virtual/2024/poster/19228,"Junyi An, Chao Qu, Zhipeng Zhou, Fenglei Cao, Xu Yinghui, Yuan Qi, Furao Shen"
Mirage: Model-agnostic Graph Distillation for Graph Classification,https://iclr.cc/virtual/2024/poster/19373,"Mridul Gupta, Sahil Manchanda, HARIPRASAD KODAMANA, Sayan Ranu"
PolyGCL: GRAPH CONTRASTIVE LEARNING via Learnable Spectral Polynomial Filters,https://iclr.cc/virtual/2024/poster/17428,"Jingyu Chen, Runlin Lei, Zhewei Wei"
StructComp: Substituting propagation with Structural Compression in Training Graph Contrastive Learning,https://iclr.cc/virtual/2024/poster/18378,"Shengzhong Zhang, Wenjie Yang, Xinyuan Cao, Hongwei Zhang, Zengfeng Huang"
GTMGC: Using Graph Transformer to Predict Molecule’s Ground-State Conformation,https://iclr.cc/virtual/2024/poster/19080,"Guikun Xu, Yongquan Jiang, PengChuan Lei, Yan Yang, Jim Chen"
