title,openreview_link,authors
Planting a SEED of Vision in Large Language Model,https://iclr.cc/virtual/2024/poster/19618,"Yuying Ge, Sijie Zhao, Ziyun Zeng, Yixiao Ge, Chen Li, Xintao Wang, Ying Shan"
Improving Generalization in Equivariant Graph Neural Networks with Physical Inductive Biases,https://iclr.cc/virtual/2024/poster/19496,"Yang Liu, Jiashun Cheng, Haihong Zhao, Tingyang Xu, Peilin Zhao, Fugee Tsung, Jia Li, Yu Rong"
Real-Fake: Effective Training Data Synthesis Through Distribution Matching,https://iclr.cc/virtual/2024/poster/17629,"Jianhao Yuan, Jie Zhang, Shuyang Sun, Philip Torr, Bo ZHAO"
Evaluating the Zero-shot Robustness of Instruction-tuned Language Models,https://iclr.cc/virtual/2024/poster/18154,"Jiuding Sun, Chantal Shaib, Byron Wallace"
BioBridge: Bridging Biomedical Foundation Models via Knowledge Graphs,https://iclr.cc/virtual/2024/poster/18031,"Zifeng Wang, Zichen Wang, Balasubramaniam Srinivasan, Vassilis N. Ioannidis, Huzefa Rangwala, RISHITA ANUBHAI"
Small-scale proxies for large-scale Transformer training instabilities,https://iclr.cc/virtual/2024/poster/18273,"Mitchell Wortsman, Peter Liu, Lechao Xiao, Katie Everett, Alexander Alemi, Ben Adlam, John Co-Reyes, Izzeddin Gur, Abhishek Kumar, Roman Novak, Jeffrey Pennington, Jascha Sohl-Dickstein, Kelvin Xu, Jaehoon Lee, Justin Gilmer, Simon Kornblith"
IRAD: Implicit Representation-driven Image Resampling against Adversarial Attacks,https://iclr.cc/virtual/2024/poster/18034,"Yue Cao, Tianlin Li, Xiaofeng Cao, Ivor Tsang, Yang Liu, Qing Guo"
Adaptive Stochastic Gradient Algorithm for Black-box Multi-Objective Learning,https://iclr.cc/virtual/2024/poster/18323,"Feiyang YE, YUEMING LYU, Xuehao Wang, Yu Zhang, Ivor Tsang"
MetaPhysiCa: Improving OOD Robustness in Physics-informed Machine Learning,https://iclr.cc/virtual/2024/poster/18883,"S Chandra Mouli, Muhammad Alam, Bruno Ribeiro"
Improving Intrinsic Exploration by Creating Stationary Objectives,https://iclr.cc/virtual/2024/poster/18419,"Roger Creus Castanyer, Joshua Romoff, Glen Berseth"
The False Promise of Imitating Proprietary Language Models,https://iclr.cc/virtual/2024/poster/18877,"Arnav Gudibande, Eric Wallace, Charlie Snell, Xinyang Geng, Hao Liu, Pieter Abbeel, Sergey Levine, Dawn Song"
Teach LLMs to Phish: Stealing Private Information from Language Models,https://iclr.cc/virtual/2024/poster/17716,"Ashwinee Panda, Christopher A. Choquette-Choo, Zhengming Zhang, Yaoqing Yang, Prateek Mittal"
Course Correcting Koopman Representations,https://iclr.cc/virtual/2024/poster/19276,"Mahan Fathi, Clement Gehring, Jonathan Pilault, David Kanaa, Pierre-Luc Bacon, Ross Goroshin"
DP-OPT: Make Large Language Model Your Privacy-Preserving Prompt Engineer,https://iclr.cc/virtual/2024/poster/18958,"Junyuan Hong, Jiachen (Tianhao) Wang, Chenhui Zhang, Zhangheng LI, Bo Li, Zhangyang Wang"
Privacy-Preserving In-Context Learning for Large Language Models,https://iclr.cc/virtual/2024/poster/17471,"Tong Wu, Ashwinee Panda, Jiachen (Tianhao) Wang, Prateek Mittal"
BaDExpert: Extracting Backdoor Functionality for Accurate Backdoor Input Detection,https://iclr.cc/virtual/2024/poster/17666,"Tinghao Xie, Xiangyu Qi, Ping He, Yiming Li, Jiachen (Tianhao) Wang, Prateek Mittal"
Effectively Leveraging Capacity for Improved Deterministic Robustness Certification,https://iclr.cc/virtual/2024/poster/17707,"Kai Hu, Klas Leino, Zifan Wang, Matt Fredrikson"
Tree-Planner: Efficient Close-loop Task Planning with Large Language Models,https://iclr.cc/virtual/2024/poster/19017,"Mengkang Hu, Yao Mu, Xinmiao Yu, Mingyu Ding, Shiguang Wu, Wenqi Shao, Qiguang Chen, Bin Wang, Yu Qiao, Ping Luo"
Diffusion Model for Dense Matching,https://iclr.cc/virtual/2024/poster/18383,"Jisu Nam, Gyuseong Lee, Seonwoo Kim, Inès Hyeonsu Kim, Hyoungwon Cho, Seyeon Kim, Seungryong Kim"
The optimality of kernel classifiers in Sobolev space,https://iclr.cc/virtual/2024/poster/18930,"Jianfa Lai, zhifan Li, Dongming Huang, Qian Lin"
Trajeglish: Learning the Language of Driving Scenarios,https://iclr.cc/virtual/2024/poster/18411,"Jonah Philion, Xue Bin Peng, Sanja Fidler"
Causal Inference with Conditional Front-Door Adjustment and Identifiable Variational Autoencoder,https://iclr.cc/virtual/2024/poster/17501,"Ziqi Xu, Debo Cheng, Jiuyong Li, Jixue Liu, Lin Liu, Kui Yu"
Conditional Instrumental Variable Regression with Representation Learning for Causal Inference,https://iclr.cc/virtual/2024/poster/17741,"Debo Cheng, Ziqi Xu, Jiuyong Li, Lin Liu, Jixue Liu, Thuc Le"
Scalable and Effective Implicit Graph Neural Networks on Large Graphs,https://iclr.cc/virtual/2024/poster/18674,"Juncheng Liu, Bryan Hooi, Kenji Kawaguchi, Yiwei Wang, Chaosheng Dong, Xiaokui Xiao"
